0,1,2,3,4,5,6,7,8
0.50049525,-1.2243295,-4.413014,5.360079,3466.6077,3237.5393,2.1163104,-0.8776458,83.27
0.51267195,-1.207771,-4.4369636,5.3312593,3454.6472,3198.81,2.1493337,-0.87852776,59.85
0.5762783,-1.2062702,-4.4679947,5.356692,3505.5894,3244.3623,2.1361153,-0.87763685,85.77
0.52331895,-1.2318815,-4.4337873,5.36791,3615.206,3392.6687,2.0495408,-0.8768755,84.82
0.5340515,-1.2164851,-4.453572,5.3402886,3596.2427,3377.585,2.087086,-0.8777686,69.81
0.6027241,-1.2134389,-4.486201,5.365686,3653.39,3398.7483,2.0665982,-0.87679386,65.36
0.33189386,-1.2323619,-4.278024,5.446159,3250.5002,3007.907,1.9923698,-0.87894845,151
0.3959966,-1.2274774,-4.3079314,5.4606347,3320.2087,3040.3555,1.9961042,-0.8782616,86.05
0.40408227,-1.2161785,-4.32985,5.440234,3320.3362,3043.3076,2.020189,-0.87886465,76.36
0.35540476,-1.2359263,-4.3075204,5.452437,3368.46,3155.102,1.9320399,-0.8783582,97.25
0.41881296,-1.2296934,-4.334102,5.4650407,3452.4692,3167.831,1.930906,-0.8776199,66.24
0.42964366,-1.2201238,-4.357414,5.4462814,3442.8142,3179.1802,1.9552845,-0.8782219,86.38
0.49104932,-1.2142687,-4.386054,5.4588885,3524.7856,3189.2961,1.9589214,-0.87755644,121.14
0.5007326,-1.2046045,-4.4150734,5.441028,3522.1416,3224.8171,1.978294,-0.87810487,122.85
0.43979558,-1.2324637,-4.3622913,5.4706697,3581.2292,3294.488,1.878164,-0.87705475,123.74
0.45224708,-1.2238634,-4.385896,5.4521422,3568.9531,3308.864,1.8979696,-0.8775872,137.43
0.5152586,-1.2176766,-4.413134,5.464632,3659.0767,3309.5198,1.8999784,-0.87690705,123.81
0.52622664,-1.2093973,-4.4415774,5.446738,3646.9739,3341.8298,1.9176251,-0.8774243,165.98
0.58838004,-1.2038487,-4.4668837,5.4588604,3740.4568,3322.2048,1.9266534,-0.8768493,125.91
0.369206,-1.2419641,-4.319434,5.432414,3300.2812,3101.2524,1.9819274,-0.87816244,90.81
0.4345568,-1.2358642,-4.3485065,5.448708,3346.371,3129.6838,1.9768462,-0.8774686,122.97
