,0
287,36.020832
288,31.283762
289,31.447716
290,49.780945
291,49.801815
292,49.780945
293,50.133865
294,49.535595
295,49.507378
296,47.184807
297,47.694256
298,48.854897
299,48.93504
300,46.829742
301,48.28518
302,47.371555
303,48.756832
304,47.155163
305,46.79599
306,47.936073
307,47.240295
308,45.43355
309,48.1361
310,51.280388
311,46.35284
312,47.936073
313,47.240295
314,45.43411
315,47.885956
316,49.738667
317,52.19039
318,41.367424
319,47.50027
320,47.235447
321,45.43411
322,47.88589
323,47.83187
324,50.750694
325,49.48094
326,46.269947
327,42.425285
328,47.76162
329,48.213387
330,52.458263
331,52.267853
332,50.75125
333,47.998474
334,49.447926
335,46.77328
336,45.5716
337,47.489033
338,54.652336
339,53.62124
340,52.24836
341,48.027824
342,47.961823
343,49.41548
344,40.78152
345,46.685154
346,46.076736
347,51.23328
348,54.37975
349,55.553642
350,52.262337
351,48.027824
352,47.961823
353,40.694775
354,40.782078
355,35.20374
356,46.68434
357,45.98861
358,51.74135
359,58.1203
360,55.27449
361,54.583744
362,47.998474
363,47.962208
364,40.782078
365,36.784077
366,36.023403
367,36.022964
368,45.71586
369,45.99072
370,52.765835
371,58.583088
372,57.657887
373,48.961143
374,49.198566
375,49.41548
376,40.782078
377,36.842373
378,36.023403
379,36.01772
380,36.020393
381,45.120777
382,50.78539
383,58.546085
384,58.9163
385,58.647083
386,48.96167
387,49.24124
388,47.8681
389,40.782078
390,36.842373
391,36.023426
392,36.022964
393,36.020393
394,36.029446
395,49.78388
396,50.133865
397,49.51766
398,48.7089
399,50.133865
400,49.51031
401,46.829742
402,48.316017
403,49.45911
404,48.7542
405,47.26963
406,46.822395
407,46.796715
408,48.726013
409,46.919827
410,47.235878
411,47.20285
412,46.665455
413,46.034756
414,46.92276
415,49.37161
416,46.768982
417,47.20285
418,46.6892
419,48.81944
420,47.88889
421,49.47778
422,49.31176
423,41.764164
424,46.642605
425,46.6892
426,48.843185
427,50.64618
428,47.570984
429,48.775356
430,46.582825
431,45.453545
432,41.249054
433,47.210526
434,49.951736
435,55.043488
436,52.006966
437,47.734695
438,45.100357
439,49.480526
440,46.33859
441,45.319805
442,46.914253
443,55.277287
444,55.21305
445,54.78557
446,45.011276
447,45.063705
448,49.448082
449,40.78152
450,46.25046
451,45.82494
452,50.604507
453,54.954243
454,54.337273
455,54.78557
456,47.620964
457,45.06409
458,40.727375
459,38.022095
460,37.70972
461,45.287735
462,45.74052
463,51.488766
464,58.649452
465,54.02782
466,54.520233
467,47.88953
468,49.301483
469,40.81468
470,36.611774
471,37.51989
472,37.6616
473,45.284355
474,51.399826
475,59.144356
476,58.733753
477,57.386444
478,47.05158
479,47.583275
480,49.301483
481,40.81468
482,36.611774
483,37.519913
484,37.6616
485,37.6616
486,45.69902
487,51.38366
488,58.546085
489,58.22455
490,58.27442
491,47.052105
492,47.280235
493,40.427216
494,40.83882
495,37.62127
496,37.519913
497,37.6616
498,37.6616
499,36.024414
500,45.073864
501,50.765892
502,57.67957
503,58.22508
504,58.274952
505,51.06096
506,47.28076
507,42.361595
508,39.29301
509,40.405396
510,37.51945
511,37.6616
512,37.660557
513,36.023373
514,36.031746
515,44.109356
516,42.618927
517,43.843136
518,43.03507
519,42.39829
520,43.843136
521,42.559174
522,42.66593
523,42.035877
524,43.16537
525,38.326134
526,42.658585
527,42.59915
528,41.87838
529,40.649967
530,38.24785
531,42.457584
532,42.501644
533,42.088654
534,44.03313
535,43.075043
536,37.529537
537,42.454575
538,42.501644
539,43.482517
540,44.221447
541,45.941216
542,42.77808
543,32.52471
544,41.627197
545,43.482517
546,43.482517
547,40.48443
548,46.143024
549,45.532852
550,40.049137
551,36.214092
552,41.29802
553,43.02297
554,49.262768
555,45.00835
556,46.14145
557,45.53341
558,40.052944
559,41.2324
560,37.099136
561,44.98886
562,42.72611
563,48.80322
564,44.952652
565,50.573483
566,42.809982
567,42.80042
568,41.46995
569,33.26611
570,36.910313
571,45.873905
572,46.372417
573,44.762226
574,44.49795
575,50.573483
576,42.812447
577,42.80002
578,35.70181
579,30.50672
580,30.184278
581,36.044903
582,42.559692
583,47.25475
584,47.750675
585,44.303543
586,43.142918
587,42.775795
588,44.253292
589,35.789112
590,31.84793
591,29.88346
592,32.813705
593,44.903824
594,51.815968
595,57.59703
596,53.259872
597,57.961643
598,42.37951
599,42.649532
600,44.413643
601,33.042282
602,32.857384
603,29.883482
604,32.813705
605,32.813705
606,50.93449
607,50.92894
608,53.13967
609,53.171745
610,58.873222
611,47.02991
612,47.019093
613,40.45256
614,32.978664
615,32.857384
616,32.667114
617,32.813705
618,32.813705
619,32.903606
620,50.515778
621,50.495613
622,52.253174
623,58.82335
624,58.274952
625,50.77923
626,47.01962
627,40.452213
628,37.396374
629,32.8048
630,32.666073
631,32.812664
632,32.812664
633,32.902565
634,33.05309
635,46.5043
636,47.78842
637,53.560272
638,58.20247
639,58.185055
640,51.309364
641,50.38512
642,39.83816
643,38.170135
644,38.046955
645,33.600754
646,33.636364
647,33.637814
648,33.73464
649,33.999386
650,34.534042
651,42.93322
652,43.060352
653,42.60099
654,42.56071
655,42.705288
656,42.208107
657,38.363953
658,42.522892
659,42.660122
660,41.99226
661,34.757217
662,38.29238
663,42.6037
664,42.502625
665,42.841316
666,34.50088
667,34.72686
668,38.259354
669,42.502625
670,43.067356
671,46.486515
672,33.80719
673,34.72419
674,38.161846
675,43.33794
676,43.48196
677,40.622196
678,46.144005
679,31.866571
680,33.941345
681,38.165554
682,39.14272
683,41.08339
684,40.69851
685,46.13189
686,42.810963
687,32.19536
688,32.03013
689,38.46057
690,44.92297
691,45.486794
692,41.08933
693,40.4806
694,43.412483
695,42.77756
696,36.30003
697,35.72097
698,38.16371
699,40.503254
700,45.55646
701,45.522907
702,37.941536
703,43.37639
704,43.917385
705,35.897045
706,36.201736
707,38.601265
708,41.854553
709,40.155334
710,44.830433
711,45.52212
712,37.944
713,43.376755
714,35.87298
715,32.841385
716,32.609833
717,36.200138
718,38.498997
719,48.472603
720,44.50145
721,44.754448
722,38.090805
723,37.90735
724,44.827724
725,35.765274
726,31.5994
